City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
445,santa marta de ortigueira,43.6833,-7.85,16.81,79,100,8.49,ES,1697329829
446,camiri,-20.05,-63.5167,23.14,55,37,2.2,BO,1697329829
447,vilyuysk,63.7553,121.6247,-5.56,80,22,2.24,RU,1697329829
448,teruel,40.6667,-0.6667,9.64,86,19,1.39,ES,1697329830
449,inaruwa,26.6011,87.1488,21.33,75,0,2.1,NP,1697329830
450,kodinsk,58.6881,99.1844,1.36,84,100,2.83,RU,1697329830
451,axim,4.8699,-2.2405,24.99,93,36,3.27,GH,1697329830
452,nahiyat al fuhud,30.9697,46.7228,28.76,23,0,3.13,IQ,1697329831
453,amahai,-3.3333,128.9167,28.24,78,30,2.28,ID,1697329831
454,morondava,-20.2833,44.2833,25.73,77,86,0.98,MG,1697329831
455,am timan,11.0297,20.2827,25.96,57,100,1.6,TD,1697329831
456,urangan,-25.3,152.9,22.61,72,0,4.95,AU,1697329831
457,robore,-18.3333,-59.75,27.75,45,9,1.53,BO,1697329831
458,ghadamis,30.1337,9.5007,21.65,22,0,4.24,LY,1697329832
459,le vauclin,14.5452,-60.8388,26.03,83,0,1.54,MQ,1697329832
460,coffs harbour,-30.3,153.1333,27.3,53,0,4.63,AU,1697329832
461,shakargarh,32.2623,75.1668,20.3,50,0,1.72,PK,1697329832
462,kone,-21.0595,164.8658,28.45,60,68,1.04,NC,1697329833
463,nadym,65.5333,72.5167,-1.62,92,60,4.18,RU,1697329833
464,'ali sabieh,11.1558,42.7125,27.07,88,29,4.24,DJ,1697329833
465,ar ruseris,11.8659,34.3869,24.67,71,100,3.29,SD,1697329833
466,settat,33.0007,-7.6204,20.9,52,100,2.09,MA,1697329833
467,portstewart,55.1813,-6.714,8.43,66,76,6.84,GB,1697329719
468,piotrkow trybunalski,51.4055,19.7032,8.43,65,99,5.87,PL,1697329834
469,stornoway,58.2093,-6.3865,5.02,89,75,0.89,GB,1697329834
470,sandakan,5.8402,118.1179,26.82,88,20,1.54,MY,1697329834
471,barnesville,33.0546,-84.1557,19.31,76,0,2.57,US,1697329834
472,alupka,44.4167,34.05,17.25,83,0,3.63,UA,1697329835
473,big bend,-26.8167,31.9333,18.27,57,100,2.82,SZ,1697329835
474,soio,-6.1349,12.3689,24.81,84,100,4.73,AO,1697329835
475,kalengwa,-13.4659,25.0027,19.4,80,100,2.06,ZM,1697329835
476,walvis bay,-22.9575,14.5053,13.94,88,0,3.09,NA,1697329790
477,rongelap,11.1635,166.8941,28.44,75,86,3.55,MH,1697329836
478,muravlenko,63.7898,74.523,0.04,81,100,5.59,RU,1697329836
479,padang,-0.9492,100.3543,25.03,88,82,0.46,ID,1697329675
480,uray,60.1247,64.7758,6.04,83,99,6.26,RU,1697329836
481,sandnessjoen,66.0217,12.6316,5.29,74,100,16.33,NO,1697329836
482,tofol,5.3248,163.0078,28.88,79,100,5.14,FM,1697329837
483,piacabucu,-10.4056,-36.4344,25.14,74,15,5.13,BR,1697329837
484,vila velha,-20.3297,-40.2925,21.97,98,75,4.02,BR,1697329837
485,watsa,3.0372,29.5355,18.02,99,42,1.42,CD,1697329837
486,weiser,44.251,-116.9693,22.11,43,99,1.81,US,1697329837
487,itaituba,-4.2761,-55.9836,27.76,46,5,0.89,BR,1697329838
488,korsakov,46.6328,142.7813,9.65,85,100,4.02,RU,1697329838
489,dhuwaran,22.2333,72.8,27.19,57,55,1.57,IN,1697329838
490,dutse,11.7594,9.3392,25.39,28,100,2.12,NG,1697329838
491,sabang,5.8933,95.3214,27.3,78,100,4.91,ID,1697329839
492,san rafael,-34.6177,-68.3301,20.11,23,3,3.26,AR,1697329839
493,upington,-28.4478,21.2561,19.21,32,0,2.57,ZA,1697329562
494,yangjiang,21.85,111.9667,25.05,69,100,3.68,CN,1697329839
495,chiredzi,-21.05,31.6667,20.72,64,100,5.33,ZW,1697329839
496,kirkwood,38.5834,-90.4068,12.86,89,100,4.12,US,1697329542
497,knyaze-volkonskoye,48.4642,135.4567,14.19,65,73,3.58,RU,1697329840
498,puerto deseado,-47.7503,-65.8938,8.18,75,3,5.28,AR,1697329840
499,maxixe,-23.8597,35.3472,21.08,74,92,4.62,MZ,1697329840
500,carolina,18.3808,-65.9574,28.89,86,95,0.45,PR,1697329759
501,saint-philippe,-21.3585,55.7679,21.77,81,43,4.36,RE,1697329840
502,jacksonville beach,30.2947,-81.3931,24.07,82,0,3.09,US,1697329828
